Display_Name,country,sovereign,Status_GYR,protection_mpaguide_level,establishment_stage,designation,pa_type,area_km2,wdpa_id,wdpa_pid,Boundary_Join_Key,id,site_assessment_id,mpa_zone_id,proposed_date,designated_date,implemented_date,formally_recognized,regulations_in_force,status,affiliated_reports,source_file
Ross Sea Region,ABNJ,ABNJ,Green,high,actively managed,Marine Protected Area (CCAMLR),"mpa, primary conservation",1555859.7082310312,,555624810_A,555624810_A,327,4,9047.0,2012-01-01,2016-10-01,2017-12-01,yes,yes,published,"Brooks et al. (2021), Pike et al. (2024), Nocito et al. (2022)",designated_implemented
Papahānaumokuākea,USA,USA,Green,high,implemented,National Marine Sanctuary,"mpa, primary conservation",1508744.9860670078,,,,6093,3659,,,2025-01-16,2025-03-05,yes,yes,published,,designated_implemented
Papahānaumokuākea,USA,USA,Green,high,actively managed,Marine National Monument,"mpa, primary conservation",1146660.5887024414,,,,606,3,68808390.0,2016-01-29,2016-08-26,2016-08-26,yes,yes,published,"Sullivan-Stack et al. (2022), Pike et al. (2024)",designated_implemented
Pacific Islands Heritage,USA,USA,Green,high,implemented,Marine National Monument,"mpa, primary conservation",1062913.020648555,,None,None,6321,7,6321.0,,2014-09-25,2014-09-25,yes,yes,published,,designated_implemented
Pitcairn Islands,PCN,GBR,Green,full,actively managed,Marine Reserve,"mpa, primary conservation",832696.4337419765,,555624172,555624172,405,127,9178.0,2013-01-01,2016-09-12,2016-09-12,yes,yes,published,Pike et al. (2024),designated_implemented
Tristan da Cunha,SHN,GBR,Green,full,actively managed,Marine Protection Zone,"mpa, primary conservation",687222.6998691651,,None,None,281,138,68808197.0,2019-01-01,2020-11-13,2021-09-21,yes,yes,published,Pike et al. (2024),designated_implemented
Palau,PLW,PLW,Green,full,implemented,National Marine Sanctuary Protection Zone,"mpa, multiple-objective",477146.7090882656,,555622118,555622118,766,89,68807606.0,2014-01-01,2015-10-28,2020-01-01,yes,yes,published,Pike et al. (2024),designated_implemented
South Georgia and South Sandwich Islands,SGS,GBR,Green,full,actively managed,Marine Protected Area,unknown,469821.2955326094,,None,None,762,5,68808365.0,,2012-02-23,2013-08-31,yes,yes,published,Pike et al. (2024),designated_implemented
Cocos (Keeling) Island,AUS,AUS,Green,full,implemented,Marine Park,"mpa, primary conservation",465845.70664660935,,None,None,3879,134,68819567.0,2021-08-01,2022-03-01,2022-04-01,yes,yes,published,,designated_implemented
Ascension Exclusive Economic Zone,SHN,GBR,Green,full,actively managed,Marine Protected Area,unknown,443571.360258334,,None,None,706,71,68819542.0,,2019-08-30,2021-05-01,yes,yes,published,Pike et al. (2024),designated_implemented
Macquarie Island,AUS,AUS,Green,high,implemented,Marine Park,"mpa, primary conservation",388814.61458759377,,None,None,4284,39,68821401.0,,,2023-07-01,yes,yes,published,,designated_implemented
Papahānaumokuākea,USA,USA,Green,high,actively managed,Marine National Monument,"mpa, primary conservation",362103.78790761327,,,,604,3,8338.0,2001-01-01,2006-06-15,2008-12-01,yes,yes,published,"Sullivan-Stack et al. (2022), Pike et al. (2024)",designated_implemented
